Date;Year;Month_Number;Month_Name;Month_Name_FR;Quarter_Number;Quarter_Label;PI_Planning;Week_Number;Day_Number;Day_Name;Day_Name_FR;Day_Of_Week;Is_Weekend;Is_Weekday;Semester;Year_Month;Year_Week
21/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;21;Thursday;Jeudi;4;NO;YES;S2;2025-08;2025-W34
22/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;22;Friday;Vendredi;5;NO;YES;S2;2025-08;2025-W34
23/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;23;Saturday;Samedi;6;YES;NO;S2;2025-08;2025-W34
24/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;34;24;Sunday;Dimanche;7;YES;NO;S2;2025-08;2025-W34
25/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;25;Monday;Lundi;1;NO;YES;S2;2025-08;2025-W35
26/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;26;Tuesday;Mardi;2;NO;YES;S2;2025-08;2025-W35
27/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;27;Wednesday;Mercredi;3;NO;YES;S2;2025-08;2025-W35
28/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;28;Thursday;Jeudi;4;NO;YES;S2;2025-08;2025-W35
29/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;29;Friday;Vendredi;5;NO;YES;S2;2025-08;2025-W35
30/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;30;Saturday;Samedi;6;YES;NO;S2;2025-08;2025-W35
31/08/2025;2025;8;August;Août;3;Q3 2025;2025 - Q3 - DPF - PI Planning;35;31;Sunday;Dimanche;7;YES;NO;S2;2025-08;2025-W35
01/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;1;Monday;Lundi;1;NO;YES;S2;2025-09;2025-W36
02/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;2;Tuesday;Mardi;2;NO;YES;S2;2025-09;2025-W36
03/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;3;Wednesday;Mercredi;3;NO;YES;S2;2025-09;2025-W36
04/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;4;Thursday;Jeudi;4;NO;YES;S2;2025-09;2025-W36
05/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;5;Friday;Vendredi;5;NO;YES;S2;2025-09;2025-W36
06/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;6;Saturday;Samedi;6;YES;NO;S2;2025-09;2025-W36
07/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;36;7;Sunday;Dimanche;7;YES;NO;S2;2025-09;2025-W36
08/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;8;Monday;Lundi;1;NO;YES;S2;2025-09;2025-W37
09/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;9;Tuesday;Mardi;2;NO;YES;S2;2025-09;2025-W37
10/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;10;Wednesday;Mercredi;3;NO;YES;S2;2025-09;2025-W37
11/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;11;Thursday;Jeudi;4;NO;YES;S2;2025-09;2025-W37
12/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;12;Friday;Vendredi;5;NO;YES;S2;2025-09;2025-W37
13/09/2025;2025;9;September;Septembre;3;Q3 2025;2025 - Q3 - DPF - PI Planning;37;13;Saturday;Samedi;6;YES;NO;S2;2025-09;2025-W37
